Temp,<E>,<|M|>,<E>/Spin,<|M|>/Spin,
0.000000,-68.093333,22.266667,-0.075659,0.024741,
0.250000,170.773333,28.433333,0.189748,0.031593,
0.500000,2.440000,23.613333,0.002711,0.026237,
0.750000,-123.706667,23.920000,-0.137452,0.026578,
1.000000,-159.733333,22.906667,-0.177481,0.025452,
1.250000,3.186667,23.986667,0.003541,0.026652,
1.500000,-81.026667,23.826667,-0.090030,0.026474,
1.750000,-87.506667,23.893333,-0.097230,0.026548,
2.000000,6.546667,24.213333,0.007274,0.026904,
2.250000,41.040000,26.613333,0.045600,0.029570,
2.500000,41.506667,24.080000,0.046119,0.026756,
2.750000,-79.106667,24.373333,-0.087896,0.027081,
3.000000,-13.026667,23.186667,-0.014474,0.025763,
3.250000,-78.506667,23.773333,-0.087230,0.026415,
3.500000,-64.613333,24.640000,-0.071793,0.027378,
3.750000,7.906667,24.053333,0.008785,0.026726,
4.000000,9.906667,23.866667,0.011007,0.026519,
4.250000,-80.080000,24.680000,-0.088978,0.027422,
4.500000,-3.360000,22.306667,-0.003733,0.024785,
4.750000,7.493333,24.853333,0.008326,0.027615,
